['Lasionectes_entrichoma', 'Armadillo_officinalis', 'Cherax_destructor']
anchors:  [ 37 146 194]
true_p:  [0.55839945 0.27105385 0.17054669]
true_x:  [0.0899564  0.18439664 0.77494991]
true_y:  0.07384903105415441
Simulation Runtime:  0.5710592269897461
opt_anchors:  [ 40 178 147]
opt_x:  [1.00000000e+00 5.65946401e-01 2.33756946e-22]
opt_p:  [7.58301226e-01 4.14663492e-22 2.41698774e-01]
opt_y:  0.10725948441803046
optimal anchors:  [ 40 147 178]
optimal p:  [7.58301226e-01 2.41698774e-01 4.14663492e-22]
optimal x:  [1.00000000e+00 2.33756946e-22 5.65946401e-01]
optimal y:  0.10725948441803046
Jaccard:  0.0
Optimization Runtime:  1.2281110286712646
