['MANVI', 'TAEGU', 'PELCR']
anchors:  [15 16 50]
true_p:  [0.12755014 0.53047745 0.34197241]
true_x:  [0.82992417 0.60324745 0.97685939]
true_y:  0.045346109607160394
Simulation Runtime:  0.01773214340209961
opt_anchors:  [16 18 50]
opt_x:  [0.62959272 0.97003196 0.97648407]
opt_p:  [0.56318597 0.08307073 0.3537433 ]
opt_y:  0.044936295756307545
optimal anchors:  [16 18 50]
optimal p:  [0.56318597 0.08307073 0.3537433 ]
optimal x:  [0.62959272 0.97003196 0.97648407]
optimal y:  0.044936295756307545
Jaccard:  0.5
Optimization Runtime:  1537.3475034236908
