['Huperzia_squarrosa', 'Sphagnum_lescurii']
anchors:  [123 130]
true_p:  [0.02025218 0.97974782]
true_x:  [0.14863367 0.4554893 ]
true_y:  0.12404375894093378
Simulation Runtime:  0.04370284080505371
opt_anchors:  [148 156]
opt_x:  [1. 1.]
opt_p:  [0.81238013 0.18761987]
opt_y:  0.062331908812274545
optimal anchors:  [130 156]
optimal p:  [1.00000000e+00 1.72467354e-23]
optimal x:  [0.47236736 0.35071527]
optimal y:  0.1270518585931505
Jaccard:  0.3333333333333333
Optimization Runtime:  0.07729768753051758
