['Orukwaensis__LakeRukwa__T10D02', 'Ojipe__NyumbayaMunga__P2G3']
anchors:  [60 93]
true_p:  [0.47418219 0.52581781]
true_x:  [0.15669923 0.09057205]
true_y:  0.0024706370533767153
Simulation Runtime:  0.05974936485290527
opt_anchors:  [87 60]
opt_x:  [6.91843226e-01 2.07927116e-06]
opt_p:  [0.19304016 0.80695984]
opt_y:  0.006300702870552366
optimal anchors:  [60 87]
optimal p:  [0.80695984 0.19304016]
optimal x:  [2.07927116e-06 6.91843226e-01]
optimal y:  0.006300702870552366
Jaccard:  0.3333333333333333
Optimization Runtime:  0.06441283226013184
